;Status legend;Reviewed legend;;
;out;AI written;;
;? = unsure if in;human written;;
;empty = in, but no priority;;;
;next to go;;;
;good to go;;;
;published;;;
;;;;
;;;;
Term;Status;Reviewed?;Description;Intelligence brief linked
Anarcho Capitalism;?;AI written;Anarcho-capitalism is a political philosophy advocating for the elimination of the state in favor of voluntary exchange and private property rights. In the context of Bitcoin, it is associated with the idea that decentralized money enables economic systems independent of state control.;
Cryptocurrency;?;AI written;A cryptocurrency is a digital asset that uses cryptography for issuance and transaction validation. Bitcoin is the first and most prominent cryptocurrency, using a decentralized blockchain secured by Proof-of-Work. Most other cryptocurrencies, often called altcoins, modify or extend Bitcoin’s design.;
DAO;?;;;
DAPP ;?;;;
DEFI;?;;;
Distributed Ledger Technology (DLT);?;AI written;Distributed ledger technology is a general term for systems that record data across multiple computers without a central authority. A blockchain is one form of DLT, distinguished by its sequential structure of blocks. Bitcoin is the first successful application of blockchain-based DLT.;
Don't Trust, Verify;?;;;
Electronic Cash;?;;;
Encryption;?;AI written;Encryption is the process of converting readable data into ciphertext using a cipher and a secret key. In Bitcoin, encryption is commonly used to secure wallet files and communication channels, while the consensus system itself relies primarily on hashing and digital signatures.;
FOMO;?;;;
FUD;?;;;
ICO;?;;;
IEO;?;;;
inflation / deflation;?;;;
IPO;?;;;
Libertarianism;?;AI written;Libertarianism is a political philosophy emphasizing individual freedom, voluntary exchange, and limited government intervention. Many early Bitcoin adopters were motivated by libertarian ideals, viewing Bitcoin as a tool to separate money from state control.;
Merkle Tree;?;human written;A Merkle tree is a binary tree of hashes used to efficiently summarize all transactions in a block. Each transaction is hashed, then pairs of hashes are combined recursively until a single Merkle root remains. This structure allows compact SPV proofs.;
Nixon Shock;?;;;
Not Your Keys, Not Your Coins;?;;;
Ordinals;?;;;
OTC;?;;;
Proof of Stake (POS);?;AI written;Proof of Stake is a consensus mechanism where block creation rights are assigned based on ownership of the native asset, rather than computational work. Unlike Proof-of-Work, PoS lacks an external cost anchor, making it vulnerable to different security trade-offs.;
RGB Protocol;?;;;
Runes Protocol;?;;;
Shitcoin;?;AI written;Shitcoin is a derogatory term for cryptocurrencies other than Bitcoin, implying they lack sound monetary properties or meaningful utility. From a Bitcoin maximalist perspective, all altcoins fall under this category due to inferior security or centralization.;
Smart Contract;?;human written;Smart contracts are self-executing programs that run on a blockchain and automatically enforce the terms of an agreement when predefined conditions are met. In Bitcoin, smart contracts are implemented via the scripting system. Unlike Ethereum, Bitcoin contracts are deliberately limited to enhance security and robustness.;
Supply;?;;;
Tether;?;;;
Token;?;;;
Zero Knowledge Proof;?;AI written;A zero-knowledge proof is a cryptographic technique allowing one party to prove knowledge of a statement without revealing the statement itself. While not part of Bitcoin’s base protocol, zero-knowledge proofs are explored in other cryptocurrencies for privacy enhancements.;
Adress;good to go;human written;A Bitcoin address is an identifier used to receive bitcoin. It is derived from a public key, which in turn is derived from a private key. Bitcoin sent to an address can only be spent by someone who controls the corresponding private key. A wallet consists of one or more Bitcoin addresses and their associated keys. Common address formats include Base58Check (legacy), Bech32 (SegWit), and Bech32m (Taproot), each reflecting different script types.;
Altcoin;good to go;human written;An altcoin (alternative coin) is any cryptocurrency other than Bitcoin.;
AML – Anti-Money Laundering;good to go;human written;Anti-Money Laundering (AML) refers to a set of laws, regulations, and procedures designed to prevent criminals from disguising illegally obtained funds as legitimate. Financial institutions, including cryptocurrency exchanges, are required to implement AML measures such as customer identification, transaction monitoring, and reporting of suspicious activity. While AML frameworks aim to reduce financial crime and promote transparency, they also limit privacy and can reduce financial sovereignty for users.;
ASIC – Application Specific Integrated Circuit;good to go;human written;An ASIC is a hardware circuit built for a single computational task. In mining, ASICs are optimized exclusively for SHA-256 hashing, making them vastly more efficient than CPUs, GPUs, or FPGAs. Their introduction professionalized mining and concentrated it in industrial-scale facilities.;
Austrian School of Economics;good to go;human written;The Austrian School of Economics is a school of thought emphasizing individual decision-making, sound money, and skepticism toward central planning. Its insights on monetary policy and inflation underpin much of the ideological support for Bitcoin as a form of digital hard money.;
Base Layer;good to go;human written;The base layer refers to the main Bitcoin blockchain, where transactions are settled and secured by Proof-of-Work. Higher-layer protocols such as the Lightning Network extend its functionality but rely on the base layer for final settlement and security guarantees.;
Batching;good to go;human written;Batching is the practice of combining multiple payment outputs into a single transaction. This reduces overall data size on the blockchain and lowers transaction fees. Exchanges and high-volume senders often use batching to improve efficiency and scalability.;
Bit Gold;good to go;human written;Bit gold was a digital currency design proposed by Nick Szabo in 1998. It outlined a system combining reusable Proof-of-Work and distributed timestamping to create scarce digital assets. Although never implemented, it directly influenced the creation of Bitcoin.;
Bitcoin;good to go;human written;Bitcoin is a decentralized digital currency and peer-to-peer payment network secured by Proof-of-Work. It records transactions in a public blockchain, maintained by independently validating nodes. Bitcoin has a fixed monetary supply of 21 million coins, enforced by consensus rules. Its design eliminates the need for intermediaries, combining digital scarcity with censorship resistance and global accessibility.;
Bitcoin ATM;good to go;human written;A Bitcoin ATM is a physical kiosk that allows users to buy or sell Bitcoin using cash or electronic payments. Depending on the machine, users can deposit fiat currency to receive Bitcoin or sell Bitcoin for fiat withdrawal. These ATMs often charge higher fees than online exchanges but provide local accessibility.;
